..,Country,Gini Coefficient (%),1,2,3
,Togo,37.9%,2021,37.9%,2021
,Israel,37.9%,2021,37.9%,2021
,Sri Lanka,37.7%,2019,37.7%,2019
,Burundi,37.5%,2020,37.5%,2020
,Burkina Faso,37.4%,2021,37.4%,2021
,Chad,37.4%,2022,37.4%,2022
,Solomon Islands,37.1%,2012,-,
,Dominican Republic,37%,2022,37%,2022
,Mauritius,36.8%,2017,36.8%,2017
,Yemen,36.7%,2014,36.7%,2014
,Lithuania,36.7%,2021,36.7%,2021
,Senegal,36.2%,2021,36.2%,2021
,Indonesia,36.1%,2023,38.3%,2023
,Vietnam,36.1%,2022,36.1%,2022
,China,35.7%,2021,37.1%,2020
,Mali,35.7%,2021,35.7%,2021
,Sierra Leone,35.7%,2018,35.7%,2018
,Marshall Islands,35.5%,2019,35.5%,2019
,Liberia,35.3%,2016,35.3%,2016
,Nigeria,35.1%,2018,35.1%,2018
,Russia,35.1%,2021,36%,2020
,Qatar,35.1%,2017,-,
,Ethiopia,35%,2015,35%,2015
,Thailand,34.9%,2021,34.9%,2021
,Iran,34.8%,2022,34.8%,2022
,Italy,34.8%,2021,34.8%,2021
,Portugal,34.6%,2021,34.6%,2021
,Benin,34.4%,2021,34.4%,2021
,Australia,34.3%,2018,34.3%,2018
,Latvia,34.3%,2021,34.3%,2021
,Montenegro,34.3%,2021,34.3%,2021
,Sudan,34.2%,2014,34.2%,2014
,Tajikistan,34%,2015,34%,2015
,Spain,33.9%,2021,33.9%,2021
,Romania,33.9%,2021,33.9%,2021
,Tunisia,33.7%,2021,33.7%,2021
,Jordan,33.7%,2010,-,
,Switzerland,33.7%,2020,33.7%,2020
,Palestine,33.7%,2016,33.7%,2016
,Georgia,33.5%,2022,34.2%,2021
,North Macedonia,33.5%,2019,33.5%,2019
,Bangladesh,33.4%,2022,33.4%,2021
,Guinea-Bissau,33.4%,2021,33.4%,2021
,Serbia,33.1%,2021,33.1%,2021
,Bosnia and Herzegovina,33%,2011,-,
,Japan,32.9%,2013,-,
,South Korea,32.9%,2021,31.4%,2016
,Niger,32.9%,2021,32.9%,2021
,Greece,32.9%,2021,32.9%,2021
,India,32.8%,2021,32.8%,2021
,Luxembourg,32.7%,2021,32.7%,2021
,Germany,32.4%,2020,31.7%,2019
,United Kingdom,32.4%,2021,32.4%,2021
,Nauru,32.4%,2012,-,
,Vanuatu,32.3%,2019,32.3%,2019
,Seychelles,32.1%,2018,32.1%,2018
,Mauritania,32%,2019,32%,2019
,Egypt,31.9%,2019,31.9%,2019
,Estonia,31.8%,2021,31.8%,2021
,Canada,31.7%,2019,31.7%,2019
,France,31.5%,2021,31.5%,2021
,Mongolia,31.4%,2022,31.4%,2022
,Malta,31.4%,2020,31.4%,2020
,Cyprus,31.3%,2021,31.3%,2021
,Uzbekistan,31.2%,2022,31.2%,2022
,Myanmar,30.7%,2017,30.7%,2017
,Austria,30.7%,2021,30.7%,2021
,Fiji,30.7%,2019,30.7%,2019
,Ireland,30.1%,2021,30.1%,2021
,Sweden,29.8%,2021,29.8%,2021
,Pakistan,29.6%,2018,29.6%,2018
,Guinea,29.6%,2018,29.6%,2018
,Iraq,29.5%,2012,-,
,Albania,29.4%,2020,29.4%,2020
,Maldives,29.3%,2019,29.3%,2019
,Kazakhstan,29.2%,2021,29.2%,2021
,Hungary,29.2%,2021,29.2%,2021
,Croatia,28.9%,2021,28.9%,2021
,Timor-Leste,28.7%,2014,28.7%,2014
,Poland,28.5%,2021,28.5%,2021
,Bhutan,28.5%,2022,28.5%,2022
,Denmark,28.3%,2021,28.3%,2021
,Armenia,27.9%,2022,27.9%,2022
,Kiribati,27.8%,2019,27.8%,2019
,Finland,27.7%,2021,27.7%,2021
,Norway,27.7%,2019,27.7%,2019
,Algeria,27.6%,2011,-,
,Tonga,27.1%,2021,27.1%,2021
,Syria,26.6%,2022,26.6%,2022
,Belgium,26.6%,2021,26.6%,2021
,United Arab Emirates,26.4%,2018,26%,2018
,Kyrgyzstan,26.4%,2022,28.8%,2021
,Czech Republic,26.2%,2021,26.2%,2021
,Iceland,26.1%,2017,26.1%,2017
,Netherlands,25.7%,2021,25.7%,2021
,Moldova,25.7%,2021,25.7%,2021
,Ukraine,25.6%,2020,25.6%,2020
,Belarus,24.4%,2020,24.4%,2020
,Slovenia,24.3%,2021,24.3%,2021
,Slovakia,24.1%,2021,24.1%,2021
,Afghanistan,-,,-,
,Saudi Arabia,-,,-,
,Ivory Coast,-,,35.3%,2021
,Nepal,-,,-,
,North Korea,-,,-,
,Taiwan,-,,33.6%,2014
,Somalia,-,,36.8%,2017
,Cambodia,-,,-,
,Cuba,-,,-,
,Azerbaijan,-,,-,
,Libya,-,,-,
,Hong Kong,-,,53.9%,2016
,Singapore,-,,45.9%,2017
,Lebanon,-,,-,
,Oman,-,,-,
,New Zealand,-,,-,
,Kuwait,-,,-,
,Eritrea,-,,-,
,Puerto Rico,-,,-,
,Equatorial Guinea,-,,-,
,Bahrain,-,,-,
,Reunion,-,,-,
,Macau,-,,-,
,Western Sahara,-,,-,
,Cape Verde,-,,42.4%,2015
,Brunei,-,,-,
,Belize,-,,-,
,Bahamas,-,,-,
,Guadeloupe,-,,-,
,Martinique,-,,-,
,Mayotte,-,,-,
,French Guiana,-,,-,
,New Caledonia,-,,-,
,Barbados,-,,-,
,French Polynesia,-,,-,
,Samoa,-,,-,
,Curacao,-,,-,
,Guam,-,,-,
,Aruba,-,,-,
,Jersey,-,,0.3%,2014
,Saint Vincent and the Grenadines,-,,-,
,Antigua and Barbuda,-,,-,
,United States Virgin Islands,-,,-,
,Isle of Man,-,,-,
,Andorra,-,,-,
,Cayman Islands,-,,-,
,Dominica,-,,-,
,Bermuda,-,,-,
,Guernsey,-,,-,
,Faroe Islands,-,,-,
,Greenland,-,,33.9%,2015
,Saint Kitts and Nevis,-,,-,
,Turks and Caicos Islands,-,,-,
,American Samoa,-,,-,
,Sint Maarten,-,,-,
,Northern Mariana Islands,-,,-,
,Liechtenstein,-,,-,
,Gibraltar,-,,-,
,British Virgin Islands,-,,-,
,Monaco,-,,-,
,San Marino,-,,-,
,Saint Martin,-,,-,
,Palau,-,,-,
,Anguilla,-,,-,
,Cook Islands,-,,-,
,Saint Barthelemy,-,,-,
,Wallis and Futuna,-,,-,
,Saint Pierre and Miquelon,-,,-,
,Montserrat,-,,-,
,Falkland Islands,-,,36%,2015
,Tokelau,-,,-,
,Niue,-,,-,
,Vatican City,-,,-,
